program_name_and_version,EnergyPlus 25.2.0
program_version_release_date,11/14/25
program_name_short,E+
results_submission_date,6/9/26
organization,National Laboratory of the Rockies
organization_short,NLR
CE160 feb_mean_humidity_ratio,0.0101875
CE160 feb_max_cop,3.85627
CE160 feb_max_idb,26.7
CE160 feb_max_humidity_ratio,0.0102148
CE160 feb_min_cop,3.8462
CE160 feb_min_idb,26.7
CE160 feb_min_humidity_ratio,0.0100998
CE165 clg_energy_consumption_total,1491.9
CE165 clg_energy_consumption_supply_fan,148.66
CE165 evaporator_coil_load_total,4527.84
CE165 evaporator_coil_load_sensible,3788.64
CE165 evaporator_coil_load_latent,739.201
CE165 zone_load_total,4379.18
CE165 zone_load_sensible,3645.88
CE165 zone_load_latent,733.299
CE165 feb_mean_cop,2.9353
CE165 feb_mean_idb,23.3059
CE165 feb_mean_humidity_ratio,0.00932646
CE165 feb_max_cop,2.93963
CE165 feb_max_idb,23.3079
CE165 feb_max_humidity_ratio,0.00935114
CE165 feb_min_cop,2.92968
CE165 feb_min_idb,23.3054
CE165 feb_min_humidity_ratio,0.00924527
CE170 clg_energy_consumption_total,635.565
CE170 clg_energy_consumption_supply_fan,73.0515
CE170 evaporator_coil_load_total,2224.37
CE170 evaporator_coil_load_sensible,1485.17
CE170 evaporator_coil_load_latent,739.201
CE170 zone_load_total,2151.32
CE170 zone_load_sensible,1417.45
CE170 zone_load_latent,733.869
CE170 feb_mean_cop,3.38489
CE170 feb_mean_idb,22.2002
CE170 feb_mean_humidity_ratio,0.0105231
CE170 feb_max_cop,3.3887
CE170 feb_max_idb,22.2002
CE170 feb_max_humidity_ratio,0.0105554
CE170 feb_min_cop,3.37855
CE170 feb_min_idb,22.2002
CE170 feb_min_humidity_ratio,0.0104378
CE180 clg_energy_consumption_total,1081.78
CE180 clg_energy_consumption_supply_fan,118.349
CE180 evaporator_coil_load_total,4480.55
CE180 evaporator_coil_load_sensible,1523.74
CE180 evaporator_coil_load_latent,2956.81
CE180 zone_load_total,4362.2
CE180 zone_load_sensible,1417.45
CE180 zone_load_latent,2944.76
CE180 feb_mean_cop,4.03244
CE180 feb_mean_idb,22.2001
CE180 feb_mean_humidity_ratio,0.0161945
CE180 feb_max_cop,4.03813
CE180 feb_max_idb,22.2001
CE180 feb_max_humidity_ratio,0.0162346
CE180 feb_min_cop,4.02583
CE180 feb_min_idb,22.2001
CE180 feb_min_humidity_ratio,0.0160744
CE185 clg_energy_consumption_total,1539.76
CE185 clg_energy_consumption_supply_fan,139.044
CE185 evaporator_coil_load_total,4521.31
CE185 evaporator_coil_load_sensible,1564.49
CE185 evaporator_coil_load_latent,2956.81
CE185 zone_load_total,4382.26
CE185 zone_load_sensible,1435.45
CE185 zone_load_latent,2946.81
CE185 feb_mean_cop,2.84607
CE185 feb_mean_idb,22.2
CE185 feb_mean_humidity_ratio,0.0160741
CE185 feb_max_cop,2.85154
CE185 feb_max_idb,22.2
CE185 feb_max_humidity_ratio,0.0161459
CE185 feb_min_cop,2.83795
CE185 feb_min_idb,22.2
CE185 feb_min_humidity_ratio,0.0159487
CE190 clg_energy_consumption_total,164.128
CE190 clg_energy_consumption_supply_fan,18.0069
CE190 evaporator_coil_load_total,573.75
CE190 evaporator_coil_load_sensible,204.145
CE190 evaporator_coil_load_latent,369.605
CE190 zone_load_total,555.743
CE190 zone_load_sensible,187.686
CE190 zone_load_latent,368.057
CE190 feb_mean_cop,3.38603
CE190 feb_mean_idb,22.2003
CE190 feb_mean_humidity_ratio,0.0158726
CE190 feb_max_cop,3.39642
CE190 feb_max_idb,22.2003
CE190 feb_max_humidity_ratio,0.0161092
CE190 feb_min_cop,3.37578
CE190 feb_min_idb,22.2002
CE190 feb_min_humidity_ratio,0.0157132
CE195 clg_energy_consumption_total,249.671
CE195 clg_energy_consumption_supply_fan,22.6074
CE195 evaporator_coil_load_total,596.582
